ModelGeneID,InfectedCandida48R1,InfectedCandida48R2
CAALFM_C203080WA,287.2124243,46.6196228
CAALFM_C203090CA,56.0636228,193.3773592
CAALFM_C203120WA,17.6087153,0
CAALFM_C203160CA,438.673259,201.7457361
CAALFM_C203230CA,0,0
CAALFM_C203250WA,170.0977943,78.2279385
CAALFM_C203360WA,32.0980433,22.1428247
CAALFM_C203370WA,0,0
CAALFM_C203470CA,638.1078882,391.2875714
CAALFM_C203640WA,0,0
CAALFM_C203870WA,0,229.9901392
CAALFM_C204180CA,38.2329905,0
CAALFM_C204190CA,0,0
CAALFM_C204230WA,31.7314413,131.3395465
CAALFM_C204310WA,635.9673737,342.4170807
CAALFM_C204340CA,0,0
CAALFM_C204380CA,24.276093,0
CAALFM_C204460WA,29.9095404,41.2661733
CAALFM_C204480WA,0,49.2836013
CAALFM_C204580WA,106.5527376,0
CAALFM_C204680WA,40.3296383,0
CAALFM_C204810WA,0,0
CAALFM_C204940CA,574.4248487,606.0550965
CAALFM_C205070WA,66.6783354,22.9990139
CAALFM_C205190WA,118.6916571,0
CAALFM_C205250CA,385.3414073,590.7280972
CAALFM_C205460WA,1138.813154,1178.414822
CAALFM_C205470WA,366.5136513,56.1865161
CAALFM_C205890CA,115.2275381,79.4896794
CAALFM_C205930WA,1008.240958,1391.06939
CAALFM_C206070WA,17.4125179,0
CAALFM_C206170CA,0,0
CAALFM_C206190WA,87.7346518,105.9165115
CAALFM_C206210CA,190.8730974,87.7824959
CAALFM_C206330CA,46.6499548,0
CAALFM_C206350CA,0,0
CAALFM_C206390CA,0,0
CAALFM_C206520CA,0,28.5583782
CAALFM_C206540CA,30.6426174,14.092533
CAALFM_C206590CA,0,33.1716547
CAALFM_C206640CA,72.5573404,46.2033762
CAALFM_C206680WA,458.9964083,241.2483977
CAALFM_C206700WA,0,0
CAALFM_C206890CA,0,0
CAALFM_C206940CA,61.4861699,0
CAALFM_C206960WA,125.8609518,0
CAALFM_C206970WA,0,0
CAALFM_C207090CA,23.7233167,0
CAALFM_C207160WA,106.8563067,324.3450681
CAALFM_C207260CA,510.293383,469.367631
CAALFM_C207430CA,113.3128811,26.0562846
CAALFM_C207440CA,44.0217883,0
CAALFM_C207480WA,72.5665963,128.7258242
CAALFM_C207570WA,142.4299885,87.3380275
CAALFM_C207890WA,55.9382008,38.5889495
CAALFM_C208130WA,38.2329905,52.7500319
CAALFM_C208140CA,127.9857596,74.3502605
CAALFM_C208310WA,0,0
CAALFM_C208610WA,55.6890329,19.2085306
CAALFM_C208810CA,475.8618225,775.9182896
CAALFM_C209060CA,43.5616303,60.1019527
CAALFM_C209140CA,22.8350464,0
CAALFM_C209260CA,92.9530698,0
CAALFM_C209350WA,60.8378972,0
CAALFM_C209400CA,111.3780658,19.2085306
CAALFM_C209510CA,21.818827,75.2585534
CAALFM_C209610WA,0,0
CAALFM_C209640WA,14.1427465,39.0254761
CAALFM_C209700WA,0,0
CAALFM_C209730CA,142.4750756,0
CAALFM_C209740WA,0,0
CAALFM_C209750WA,21.8569718,226.1703729
CAALFM_C209770CA,0,17.4764543
CAALFM_C209900CA,57.0876159,393.8187315
CAALFM_C209950WA,72.8282789,0
CAALFM_C209990CA,0,0
CAALFM_C210060CA,38.706464,0
CAALFM_C210070WA,0,0
CAALFM_C210240WA,0,128.0885676
CAALFM_C210350CA,184.9436077,433.7831767
CAALFM_C210460CA,19.5041933,26.9099227
CAALFM_C210480WA,36.4495274,50.289389
CAALFM_C210690WA,151.9222442,67.0742467
CAALFM_C300200CA,68.5051391,165.4038672
CAALFM_C300260CA,177.821053,0
CAALFM_C300320WA,98.0563756,67.6441586
CAALFM_C300480CA,47.3567723,32.6690539
CAALFM_C300640WA,50.5138904,0
CAALFM_C300650WA,0,0
CAALFM_C300710WA,67.8238041,77.9803817
CAALFM_C300720WA,0,57.7542202
CAALFM_C300760WA,53.2007995,146.8022165
CAALFM_C300820WA,24.3233227,33.5588724
CAALFM_C300880WA,100.3184584,320.0715327
CAALFM_C300900CA,0,58.6709539
CAALFM_C300920WA,1010.515186,1459.053984
CAALFM_C300930WA,0,0
CAALFM_C301160WA,182.5771527,119.9531324
CAALFM_C301300CA,44.3339996,0
CAALFM_C301350CA,0,190.9512226
CAALFM_C301460CA,0,0
CAALFM_C301480CA,0,0
CAALFM_C301510WA,29.6260376,0
CAALFM_C301630WA,0,0
CAALFM_C301820WA,0,59.6860223
CAALFM_C302150CA,33.1623021,0
CAALFM_C302280CA,332.6912742,374.458735
CAALFM_C302310WA,0,0
CAALFM_C302320WA,109.6683148,113.4819766
CAALFM_C302600CA,85.0488972,0
CAALFM_C302610CA,1740.810971,1819.54224
CAALFM_C302780WA,258.7598799,187.9004405
CAALFM_C302810CA,0,0
CAALFM_C302860WA,0,0
CAALFM_C302870CA,0,0
CAALFM_C302950CA,0,28.0475779
CAALFM_C303040WA,0,0
CAALFM_C303070WA,0,136.35779
CAALFM_C303120CA,0,0
CAALFM_C303140CA,0,0
CAALFM_C303180CA,81.1830382,0
CAALFM_C303230CA,22.7312507,0
CAALFM_C303250WA,4.2237121,11.6549057
CAALFM_C303360WA,47.4466333,0
CAALFM_C303400CA,0,199.7983835
CAALFM_C303440CA,77.6533409,0
CAALFM_C303470WA,50.821902,0
CAALFM_C303480CA,0,115.8779492
CAALFM_C303610WA,0,0
CAALFM_C303640WA,0,0
CAALFM_C303710WA,79.8861846,0
CAALFM_C303760WA,0,59.6860223
CAALFM_C303790WA,72.4764515,0
CAALFM_C303990CA,19.5959058,0
CAALFM_C304000CA,98.0014728,48.2902028
CAALFM_C304070CA,16.5263554,68.4042053
CAALFM_C304160WA,0,0
CAALFM_C304220CA,0,0
CAALFM_C304320WA,43.5616303,0
CAALFM_C304350CA,125.8609518,0
CAALFM_C304390WA,288.1426145,397.5501765
CAALFM_C304430WA,138.7419124,319.0368762
CAALFM_C304520CA,43.9444214,0
CAALFM_C304630WA,103.04001,284.3284688
CAALFM_C304720CA,28.8734131,79.6732584
CAALFM_C304830CA,0,0
CAALFM_C304890WA,12.5021879,34.4985209
CAALFM_C304910CA,1023.570938,857.4193785
CAALFM_C305070WA,0,39.0254761
CAALFM_C305220WA,116.5317113,91.8735576
CAALFM_C305280CA,0,0
CAALFM_C305300CA,0,0
CAALFM_C305580CA,53.0653136,29.2856714
CAALFM_C305590CA,202.7381819,0
CAALFM_C305600WA,0,61.1675902
CAALFM_C305620WA,0,0
CAALFM_C305730CA,0,0
CAALFM_C305760WA,0,0
CAALFM_C305980CA,0,22.8467026
CAALFM_C306110CA,42.1658951,87.2643867
CAALFM_C306180CA,8313.637628,4990.902766
CAALFM_C306220CA,35.6187689,0
CAALFM_C306280WA,37.5441078,25.8997904
CAALFM_C306330WA,8281.906186,4990.902766
CAALFM_C306570CA,138.2985385,0
CAALFM_C306580WA,0,0
CAALFM_C306590WA,56.1896085,58.1435745
CAALFM_C306750WA,815.3600793,999.9571268
CAALFM_C306860CA,0,0
CAALFM_C306870WA,7311.547378,6442.804122
CAALFM_C306980WA,67.3972393,139.4818903
CAALFM_C307010WA,23.9047569,0
CAALFM_C307130WA,27.8238603,76.7771236
CAALFM_C307220CA,27.9691004,77.1778991
CAALFM_C307230WA,56.7851077,0
CAALFM_C307330WA,86.2219854,0
CAALFM_C307340WA,84.4742425,116.549057
CAALFM_C307360WA,0,32.3019858
CAALFM_C307410CA,147.0845633,173.9421221
CAALFM_C307440WA,1581.602082,1212.29742
CAALFM_C307490WA,40.5257306,0
CAALFM_C307640CA,220.1950899,506.338369
CAALFM_C307810CA,286.5084723,143.743837
CAALFM_C307830WA,301.2575393,207.8224149
CAALFM_C307850WA,85.8273768,0
CAALFM_C307950CA,585.5019119,807.8166045
CAALFM_C400140CA,89.4077799,143.9151646
CAALFM_C400160CA,114.4365024,177.6239633
CAALFM_C400200CA,56.6992648,58.6709539
CAALFM_C400240CA,68.1937521,94.0868751
CAALFM_C400270WA,876.7768126,967.7507155
CAALFM_C400290CA,0,0
CAALFM_C400570CA,136.4867673,18.8310703
CAALFM_C400650WA,0,0
CAALFM_C400680WA,55.0757175,37.9939657
CAALFM_C400890WA,136.9440683,61.1281781
CAALFM_C400990WA,0,0
CAALFM_C401070WA,0,0
CAALFM_C401100CA,0,0
CAALFM_C401200CA,0,0
CAALFM_C401510WA,139.4296046,224.4327566
CAALFM_C401530CA,582.4000567,187.4919613
CAALFM_C401550CA,0,0
CAALFM_C401750CA,2135.79043,1772.840656
CAALFM_C401820CA,115.4048112,212.29859
CAALFM_C401850CA,0,0
CAALFM_C401870CA,0,159.3465167
CAALFM_C401880WA,85.2421901,39.2028646
CAALFM_C401900CA,844.7424245,776.9937134
CAALFM_C402020WA,118.5041505,0
CAALFM_C402070WA,13.6785425,0
CAALFM_C402080WA,40.3296383,0
CAALFM_C402280WA,0,0
CAALFM_C402410CA,918.239788,877.0810392
CAALFM_C402510WA,0,83.5719982
CAALFM_C402610CA,0,0
CAALFM_C402980WA,30.4931412,252.4282015
CAALFM_C403180WA,91.7928626,75.9879314
CAALFM_C403330WA,69.0728612,0
CAALFM_C403700WA,21.4814225,0
CAALFM_C403940CA,79.5979704,87.8570141
CAALFM_C404150CA,460.606922,181.5711625
CAALFM_C404230WA,0,0
CAALFM_C404320WA,0,0
CAALFM_C404360WA,0,0
CAALFM_C404720WA,38.5869996,0
CAALFM_C404840CA,0,0
CAALFM_C405130CA,92.2670692,31.8252038
CAALFM_C405140CA,16.3641203,22.577566
CAALFM_C405210WA,0,37.3360616
CAALFM_C405290WA,0,0
CAALFM_C405300WA,0,0
CAALFM_C405320WA,0,0
CAALFM_C405430CA,0,0
CAALFM_C405450CA,211.9014895,497.0125889
CAALFM_C405540WA,22.9397943,31.6500192
CAALFM_C405560CA,0,164.5921798
CAALFM_C405640CA,0,0
CAALFM_C405770CA,16.4286306,0
CAALFM_C405780CA,152.2593923,116.7067689
CAALFM_C405840WA,17.173335,0
CAALFM_C405980CA,0,0
CAALFM_C406110CA,160.0564594,49.0732872
CAALFM_C406120WA,1436.246967,849.2524286
CAALFM_C406270CA,0,98.2863843
CAALFM_C406360CA,0,0
CAALFM_C406390WA,0,0
CAALFM_C406570CA,1617.800721,1412.131356
CAALFM_C406610CA,97.3690645,94.0380242
CAALFM_C406760WA,96.0229484,158.9793589
CAALFM_C406860CA,115.9399185,79.9811149
CAALFM_C407030WA,0,0
CAALFM_C407090CA,202.7381819,46.6196228
CAALFM_C407110CA,0,0
CAALFM_C500110CA,106.1006044,73.1934672
CAALFM_C500180WA,0,0
CAALFM_C500190CA,131.8925611,173.5082625
CAALFM_C500260WA,123.4783988,85.181533
CAALFM_C500430WA,0,85.8172161
CAALFM_C500590WA,2877.159132,3569.797276
CAALFM_C500650CA,69.844625,96.3645835
CAALFM_C500660CA,153.6185657,260.8583809
CAALFM_C500700CA,228.4995174,270.2234011
CAALFM_C500770CA,31.691224,109.3109026
CAALFM_C500800CA,326.0207725,273.7977847
CAALFM_C500870CA,0,32.3625899
CAALFM_C500880CA,361.5371496,112.6350961
CAALFM_C500890CA,163.5800284,128.9664332
CAALFM_C500900CA,69.6500718,0
CAALFM_C501230CA,0,57.4975348
CAALFM_C501270WA,99.5397124,109.8679009
CAALFM_C501290CA,354.3130169,488.8454375
CAALFM_C501360WA,17.5839492,0
CAALFM_C501380WA,0,24.2605632
CAALFM_C501470CA,0,0
CAALFM_C501570CA,0,0
CAALFM_C501670WA,0,0
CAALFM_C501760CA,13.0639372,0
CAALFM_C501800CA,20.8369798,57.4975348
