Genes,Mouse_Infected48_R1,Mouse_Infected48_R2
59045,2.1681785,2.051515
11303,0.801853,0.8561891
81600,0.0002587,0.0000835
67729,0.220187,0.2064974
71884,0.0004852,0.0010962
20500,0.9385039,0.9361224
13358,35.6607276,35.6674473
12716,7.0924236,7.2007092
76722,0.0074188,0.0063779
12709,10.5728851,11.1322658
12715,0.0245402,0.0168441
23985,1.3171308,1.514322
171429,0.1143691,0.1128191
66586,1.9634027,2.0263043
24060,1.4213635,1.4247122
12764,2.5693208,2.6497866
73132,2.2950845,2.4010352
436059,0.0475673,0.0551745
230027,0.5489625,0.5634133
217707,1.8942124,1.8757482
12850,1.1668595,1.1246757
72077,0.1154067,0.1117481
14537,1.4322365,1.4099334
218476,0.3412156,0.3491083
272411,0.0355296,0.0290417
102857,31.2557033,32.0622715
12908,7.3125122,7.2598147
30805,0.7195336,0.7628908
12974,9.1520407,9.2971522
74114,9.0484403,9.7793502
20539,0.3492335,0.3186655
50934,0.5097474,0.502524
12583,9.5674526,10.0930909
215113,2.5254604,2.3322397
26570,0.2117214,0.1789021
72269,3.0205896,2.8090001
11628,0.0406537,0.0319175
80914,0.2431593,0.2448837
22245,9.3524413,9.2596588
66588,2.5059916,2.670096
22169,0.8383956,0.9265192
320127,0.0023677,0.0025706
217480,0.0003463,0.0003857
104418,2.7625669,2.6444198
380921,0.0645716,0.0668877
110197,0.0772949,0.0734404
227333,0.987454,1.0155172
13139,0.872345,0.8556407
56077,0.1738241,0.1748389
110524,2.6544312,2.7125984
13142,7.1736671,6.9714242
93692,7.3550749,7.0410626
69367,2.2471535,2.331486
70503,1.9320625,1.8495891
13177,9.3151968,8.4515979
23986,2.2417825,2.2097503
13178,0.4952188,0.4874569
13190,0.0061942,0.0059979
20249,8.7643997,12.9491237
56473,1.8948846,1.9253146
76267,7.7445545,7.7022387
13350,4.257753,4.2054918
67800,2.7429385,3.0566507
27369,0.9891548,1.0063298
20527,0.3463711,0.3372923
20525,3.2564082,2.9716534
20528,2.8072737,3.2781299
74754,13.4499058,13.0383581
13122,0,0
13360,0.7827871,0.7588458
13244,17.7880102,18.7274889
70059,1.6832627,1.8170002
20860,0.0272867,0.0223878
56749,0.9181008,0.8888135
64705,0.0117913,0.0106906
22240,0.9231017,0.7727329
12934,0.0691812,0.0653583
57274,0.1499743,0.178894
110196,0.78955,0.9029587
74129,0.7971341,0.9265906
67283,4.6764355,4.1957401
380959,4.7273814,5.2622362
68563,2.7834159,2.6304131
13481,10.0911566,9.5092786
13480,1.945251,2.0197154
59012,0.0067412,0.006229
13166,0.0106092,0.0147508
22173,0.0000247,0
20538,0.0032908,0.0030726
13162,0.0004663,0.0008278
20519,0.0304378,0.0255168
12183,1.1859928,1.1974296
18648,47.5773498,45.7363193
56012,8.0382765,8.295768
192156,3.1363792,2.9701663
232449,0.6122088,0.6166499
99586,0.0394322,0.0424868
21877,1.9003451,1.7757537
57813,1.2563113,1.2459189
110074,1.662388,1.6204641
16434,0.4539431,0.413756
13595,4.6605058,4.7296277
93747,13.9608315,14.3376201
11992,0.6522794,0.6500364
51798,41.2885244,40.7757261
74147,12.7794454,13.4783296
26458,37.0876298,40.7693848
108115,2.2409131,2.2062152
58807,0.0013165,0.0016882
239273,0.2493479,0.2478659
108116,0.7537492,0.7237156
110826,15.9775424,16.0421496
110842,1.7312149,1.9019824
66841,5.037817,5.0392337
75320,3.4269306,3.6216141
214253,0.9764052,0.9602259
75540,1.118617,1.2127905
435766,0.0000424,0.0000528
74205,0.3751503,0.4250626
50790,3.137402,2.9834205
14081,2.1643278,2.3160373
433256,3.3442936,3.2730664
328845,0.0003639,0.000453
216739,0.0040893,0.0042444
117147,2.1959389,2.3978971
18605,0.1933743,0.2115101
209558,0.6072146,0.6261022
83603,0.0080246,0.005999
170439,0.1986896,0.2180826
68801,0.7464689,0.7202675
54326,0.8755192,1.0278285
666168,5.3145017,6.0809834
100040843,1.4927618,1.7126598
13117,9.1508337,10.2235583
435802,0.0893291,0.0844459
14104,9.7875953,13.7295498
26457,4.363759,4.4588459
26569,5.7417303,5.5628876
26568,1.0465561,0.8552795
11674,147.470142,145.8034306
230163,113.9068138,127.5246365
11676,1.9281348,1.8742198
14121,9.2193476,10.997852
270198,0.347095,0.3553415
18639,0.0648201,0.0652599
170768,2.0224773,1.9006509
18640,0.9521421,1.0388748
14120,1.5487945,1.4492509
14151,3.9479752,4.0908277
107747,3.5425369,3.5586326
73649,0.0454172,0.0400024
234730,2.1776226,2.0778991
71562,2.108926,2.0223283
13361,0.6165623,0.6624308
14287,3.2812751,3.3268172
56017,1.5420346,1.4869044
20526,1.6619207,1.8686172
435818,0.0036743,0.0035578
56485,0.2387594,0.2826646
216188,0.1775461,0.1833045
270685,0.0821346,0.0804662
108156,1.6921223,1.7847165
66848,11.3735777,12.6538524
71665,7.0559383,7.0735293
14085,8.2534913,8.596296
14194,6.2298154,6.5828881
14343,1.4410735,1.2615598
14348,0.253192,0.3005814
57370,8.2099235,7.8869738
53418,0.7589897,0.717631
14595,2.2369535,2.2608488
56336,3.5403409,3.6340637
14571,0.3457756,0.369405
56454,2.7616451,2.9380338
100198,17.0245444,16.4368962
14381,2.926383,2.819046
14385,9.4994028,9.9000875
14431,1.0526028,1.0467955
53897,1.4904574,1.4386832
19025,37.4761676,37.7851299
12091,1.7793425,1.8202172
50917,3.1784547,3.1694093
18010,58.1704569,56.9727231
14420,1.3672591,1.4911846
14421,11.5533026,10.8041095
234356,0.0217071,0.0238501
78752,0.6186237,0.6641809
74241,7.4203448,6.669956
269941,0.2739177,0.2713458
78923,0.0067585,0.0059469
230145,0.1311292,0.1296048
14423,1.1826245,1.2240201
231605,0.0093691,0.0065532
14426,3.214261,3.3707246
171212,0.0832,0.080196
271786,0.0001601,0.0001989
207839,0.0913448,0.0816033
78754,0.1393349,0.1207134
241391,0.0009509,0.0007892
108148,0.8880601,0.8654266
108150,0.1601354,0.1653644
71685,0.1588513,0.1659587
231050,3.4372602,3.8627257
14425,0.790394,0.8249623
170441,0.0446435,0.0484117
117592,1.7276615,1.6208444
218271,1.9817725,1.8338436
232714,0.4565944,0.4935669
14450,2.4178456,2.3568091
11593,2.3495357,2.4418343
14466,6.63975,6.3393287
227671,0.0642158,0.06181
104776,10.910689,12.7221579
214579,1.385188,1.5761665
434437,4.7818621,4.7292273
104174,0.3793694,0.4472186
68133,3.8701093,4.0145751
14538,0.9841547,1.0201334
228368,4.3495119,3.9995835
22122,8.5292963,8.0751027
14590,0.8529359,0.8593029
110175,0.9958579,0.9839112
27357,0.9706394,0.9745696
232493,0.0528178,0.0672956
14936,2.6284353,2.5725679
23887,0.2371169,0.2201644
108037,9.9125597,10.2125331
20425,2.2585081,2.3561308
11605,0.9872138,0.9554314
74185,0.0822708,0.0853621
110006,4.6396171,4.475678
109685,12.6198665,10.7362132
93683,1.1699781,1.2720043
100910,8.6940645,8.6902851
14042,0.2722676,0.2811114
14043,0.4813233,0.4619384
76898,0.0288428,0.026908
280645,0.6959406,0.6821449
72727,10.7540933,9.979271
27419,6.9003792,6.7763549
64580,0.0001371,0.0002114
15531,4.8679458,4.912239
83398,0.000465,0.0005077
17423,4.4912304,4.4233158
54616,1.5268163,1.4627222
58193,0.7130912,0.6880699
56219,0.1212522,0.115973
117591,0.0876634,0.083572
353169,0.0927683,0.103907
227659,2.1328519,2.0621467
20537,1.2290616,1.3749637
77559,0.7266871,0.7603049
110078,1.0591226,1.0801389
19309,0.2683611,0.2898109
110095,1.2335197,1.1934844
14629,15.2098887,16.3004111
14630,22.5776263,23.1133721
14661,10.6117068,10.5236473
14317,1.9797413,1.7863969
14660,4.6209284,4.5492901
216456,0.0521858,0.0521549
71803,0.0796307,0.0836619
68267,5.678922,5.5016003
270076,16.2820373,17.6469227
140919,0,0.000064
216227,0.0187302,0.0188712
72961,0.0133351,0.0153657
15112,0.0003144,0.0001107
56185,2.0440495,2.3826404
67092,2.7599251,3.4945593
76238,11.4212232,11.4538998
14933,1.6662522,2.1577844
14626,0,0
14651,8.3846417,8.2268976
14664,0.9383417,0.913441
110208,13.8809203,12.8866666
14711,1.8603143,2.1240683
14732,1.8526423,1.8555446
70325,1.4122391,1.4139518
241062,0.1626496,0.1757316
67556,2.3781674,2.2481663
72084,1.2755417,1.2795949
14782,2.6747331,2.6447965
21672,28.0812736,26.8766103
18477,14.9322934,15.1253258
14776,0.0268174,0.0391959
14775,1588.793003,1448.990643
625249,15.8236076,15.6137206
14778,1981.322473,1894.721435
75512,1.126952,1.354236
67305,0.3309642,0.333435
11757,7.356909,7.4863327
14854,5.0215323,5.1085448
14598,18.6165949,20.1984991
234889,0.0017499,0.0022606
54195,0.0643581,0.0688932
230103,1.2569378,1.3536124
245650,0.0006614,0.0012128
14917,0.0832569,0.0788995
18160,1.0337155,0.938257
14919,0.0049946,0.0077548
60596,0.048589,0.0527453
14544,0.2192838,0.2012114
12352,0.0156254,0.0208312
56078,1.1355271,1.1870488
27392,0.2555411,0.2655632
230801,1.4506902,1.3779376
99439,0.005952,0.0059098
214593,0.0035309,0.0035857
11833,0.1509443,0.1480932
56703,7.0593756,6.7918292
18701,2.622507,2.6262345
433931,0.7006279,0.7973825
239827,0.0964533,0.1175853
329777,0.1796314,0.1779948
14731,13.6980526,13.1149216
228812,0.3042823,0.295951
276846,3.4229969,3.2566171
78928,7.8981523,7.2433372
15108,26.448613,26.287843
15107,5.6056898,5.6879361
15118,2.5055173,2.297455
15116,0.0425831,0.0364448
15117,0.0558442,0.0476897
71883,3.0526964,3.0477144
20535,5.5874962,5.5877259
240215,6.6363287,6.7390243
20533,0.8477348,0.973359
20536,1.8064822,1.7221382
103988,0.0019183,0.0021777
15277,0.3008723,0.2989942
15275,1.0471947,1.0079169
216019,0.1962346,0.1941427
212032,0.479656,0.406778
15233,2.925634,3.3578427
58875,2.3406123,2.5355051
15186,1.0354256,0.9603183
11944,0.1172421,0.1459611
11945,0.0047784,0.0040299
70789,0.0360807,0.0452533
208715,8.250703,9.7863492
15360,1.8484307,1.3577323
15356,5.1547699,5.2821988
208982,0.0085423,0.010427
15368,15.0126378,13.9341239
15369,1.4774203,1.4475783
56794,0.8810627,0.8185737
52815,264.0125264,245.5625875
27029,2.1590188,2.1187095
15483,0.2627211,0.3045198
15484,18.8140674,18.3685008
15485,0.2201113,0.2593372
14979,36.160824,34.4318045
15486,0.4962865,0.5221749
15490,0.8930606,1.0254987
15497,0.0338979,0.014294
15492,1.6271422,0.5734779
15496,0.0794127,0.1306813
15494,0.5199688,0.738615
15493,0.4781946,0.6459016
15495,5.2138341,7.5580394
100043456,1.7004251,2.4884901
101502,4.9045127,4.6454174
57028,#N/A,#N/A
15929,20.5908043,20.9082854
170718,33.9148934,34.1054016
67834,5.8869179,6.3956317
15926,6.4886667,6.983288
269951,10.515304,10.606633
22018,0.0035317,0.0032376
15932,8.0930315,8.4491737
12036,3.9556705,4.0034563
72401,0.1442621,0.1512285
56727,21.6991237,30.0274908
239606,0.0104774,0.0136871
53881,5.8316044,5.8372817
319554,3.3443604,3.8429743
320581,0.00444,0.0025405
216225,1.3085133,1.4379776
56451,7.3050023,7.5065673
20917,0.475175,0.49891
20916,1.532988,1.6247475
20498,2.7850327,2.6807047
20499,2.3051474,2.3590322
107723,0.5275398,0.5436365
57138,0.0885991,0.0795061
16548,11.8718794,12.7552215
236727,0.0326903,0.0312808
77031,1.1778573,1.2208416
98256,0.9328106,1.1012373
226413,0.0003366,0.0005432
11432,5.3078915,5.358669
16816,0.6356425,0.6348416
171405,0.1251657,0.1344072
207151,1.0723469,1.3311939
236149,0.5333016,0.7617904
236293,0.0051872,0.0085683
319800,0.2661627,0.4056233
434674,0.1549099,0.2341106
327951,5.3225385,5.5308723
64008,0.0555413,0.0469832
106648,0.0386043,0.0332864
16987,0.811614,0.8478144
18783,0.0712974,0.0721164
12735,#N/A,#N/A
19193,13.9851255,13.7403554
16956,5.0490452,5.7386632
15450,0.1610571,0.1480793
12613,0.0042825,0.0055981
116939,0.4944102,0.478882
23945,0.3590262,0.3692718
237625,1.4165526,1.388467
79235,0.2620869,0.3108197
235293,1.126531,1.1618773
16993,1.1599629,1.1474801
17001,1.7931245,1.7862235
66447,2.4224044,2.5005182
211666,0.0403744,0.043831
14874,6.0620154,6.7608819
14387,3.4077928,3.5548871
72039,2.1975881,2.416813
78038,0.6445326,0.6915715
56690,3.4344038,3.3882445
246221,7.9073208,8.428262
17448,22.036298,22.3205098
17449,23.4669012,26.6860376
107029,0.2623569,0.2469088
17436,1.3117832,1.33826
109264,0.2277365,0.2263237
15930,0.0036701,0.0064948
13095,0,0.0000515
13076,0.1406276,0.1557311
13078,2.3352626,2.2668872
13077,0,0
11720,0.0036811,0.0038131
108645,3.3658234,3.4745697
232087,45.0246847,48.7916275
238505,0.3176301,0.3303088
17855,0.9821829,1.0618083
16331,0.1943025,0.1712952
104015,0.5281418,0.5754759
16332,9.5692588,9.1412583
170835,3.0430385,2.9761682
16330,1.4915412,1.5993181
64436,3.759745,3.8379577
212111,0.2730668,0.2721102
16329,0.2991096,0.3229364
228550,0.1169903,0.0993201
233011,1.3165194,1.1986849
320404,0.3034419,0.2885367
71780,26.1805562,23.9229684
269180,0.1759015,0.1711362
234515,0.0010203,0.0012137
76051,0.4762853,0.4965845
73724,1.7422156,1.7484637
17850,3.9911981,4.5727435
68393,4.5080322,4.3646565
233549,0.0634668,0.0736488
66902,0.706938,0.6999948
17768,1.4717717,1.5514205
94192,0.8947717,0.9690457
11484,0.6261428,0.7240228
71670,85.7996375,101.4093552
17939,8.5427509,8.1743384
59033,0.1844998,0.1862574
94229,0.0006453,0.0007543
114479,0.0189855,0.0150266
11931,66.8472243,69.8873048
232975,0.2696813,0.2267875
98660,0.478289,0.5012564
67821,0.0113178,0.0098861
11933,2.4725777,2.4386983
11928,136.4638302,131.1991443
27222,0.0709095,0.0569543
11932,1.2751845,1.2558554
20544,0.9197829,0.8717794
105243,1.7329676,1.917278
226999,0.3394485,0.3578246
338403,0.2184402,0.2061338
66054,36.2720589,39.4256736
20497,18.5100978,19.5423124
238384,0.0003886,0.0000684
94249,0.0081462,0.0102324
214111,0.001757,0.0015915
76376,0.0095773,0.0090568
76025,6.0560339,5.6860438
66422,5.8351972,5.3158432
67464,3.2716754,3.3195254
100862375,2.9200685,2.951048
21915,3.8234857,3.8330848
79059,29.0834671,27.8700083
18103,13.1045529,13.7961066
18102,11.6736072,10.8212116
54369,1.3302376,1.2293318
171567,0.2964771,0.306205
56520,2.0915281,1.8346536
58176,#N/A,#N/A
19743,0.0032444,0.0028221
